vce_school_name,acara_school_name,ACARA SML ID
Victorian College for the Deaf,Victorian College For The Deaf,44652
Victorian College of the Arts,Victorian College Of The Arts Secondary School,45344
Victory Christian College,Victory Christian College,46327
Victory Lutheran College,Victory Lutheran College,46323
Viewbank College,Viewbank College,45550
Village High School,Village High School,52861
Virtual School Victoria,Virtual School Victoria,45322
Wallan Secondary College,Wallan Secondary College,45532
Wanganui Park Sec College,Greater Shepparton Secondary College,53105
Wangaratta High School,Wangaratta High School,45483
Wantirna College,Wantirna College,45484
Warracknabeal Sec College,Warracknabeal Secondary College,45485
Warragul Regional College,Warragul Regional College,45563
Warrandyte High School,Warrandyte High School,45486
Warrnambool College,Warrnambool College,45549
Waverley Christian College,Waverley Christian College,46246
Wedderburn College,Wedderburn College,45323
Weeroona College Bendigo,Weeroona College Bendigo,45347
Wellington Secondary College,Wellington Secondary College,45487
Werribee Secondary College,Werribee Secondary College,45488
Werrimull P-12 College,Werrimull P-12 School,45318
Wesley College,Wesley College,46132
Westall Secondary College,Westall Secondary College,45490
Westbourne Grammar School,Westbourne Grammar School,46249
Western Heights Sec College,Western Heights Secondary College,45558
Western Port Sec College,Western Port Secondary College,45396
Western Senior Sec Coll,,
Wheelers Hill Sec College,Wheelers Hill Secondary College,45491
Whitefriars College,Whitefriars College Inc,45865
Whittlesea Secondary College,Whittlesea Secondary College,45348
William Angliss Inst of TAFE,,
William Ruthven Sec College,William Ruthven Secondary College,45627
Williamstown High School,Williamstown High School,40427
Wodonga Institute of TAFE,,
Wodonga Senior Sec College,Wodonga Senior Secondary College,40429
Wonthaggi Secondary College,Bass Coast College,40597
Woodleigh School,Woodleigh School,46391
Woodmans Hill Secondary College,Woodmans Hill Secondary College,52702
Wycheproof P-12 College,Wycheproof P-12 College,45567
Wyndham Central Sec Coll,Wyndham Central Secondary College,45346
Wyndham Comm & Educ Centre,,
Wyndham Community Centre,,
Xavier College,Xavier College,45696
Yarra Hills Sec Coll Mooroolbark,Yarra Hills Secondary College,50185
Yarra Hills Sec Coll Mt Evelyn,Yarra Hills Secondary College,50185
Yarra Hills Secondary College,Yarra Hills Secondary College,50185
Yarra Valley Community School,Cire Community School,51484
Yarra Valley Grammar School,Yarra Valley Grammar,46224
Yarram Secondary College,Yarram Secondary College,45493
Yarrawonga College P-12,Yarrawonga College P-12,45608
Yea High School,Yea High School,45494
Yeshivah College,Yeshivah College,46215
Yesodei HaTorah College,Yesodei HaTorah College,46376
Youth2Industry College,Youth2Industry College,52992
Yuille Park Community College,Yuille Park P-8 Community College,45268
